id;created_at;updated_at;locale;device_type;featured;active;affiliate_link
1;2024-02-02T13:08:59;2024-02-02T08:30:03;nor after middleman;knavishly debar ragged;false;true;awkwardly
2;2024-02-02T08:35:13;2024-02-02T05:07:31;beside;even likewise judgementally;true;false;wonderfully
3;2024-02-02T21:26:58;2024-02-02T08:45:33;flippant holiday;altruistic for because;false;true;stable partially joyously
4;2024-02-03T00:57:41;2024-02-02T19:00:19;regularly welly intensely;gosh brr alarming;false;true;nightingale
5;2024-02-02T17:52:33;2024-02-02T04:20:31;phooey sweetly;once opposite;false;false;chief
6;2024-02-02T12:04:17;2024-02-02T13:48:36;broadly letter pfft;curiously;true;true;after bomb
7;2024-02-02T08:37:39;2024-02-02T19:11:39;outside taut brr;glider phew athletic;false;false;drat
8;2024-02-02T15:00:36;2024-02-03T02:58:22;amidst;at;true;true;transpire
9;2024-02-02T04:08:08;2024-02-02T15:08:52;like expertise rebel;the;false;false;too along
10;2024-02-02T07:09:55;2024-02-02T22:06:13;succumb upend;incarnation;false;true;solidity
